scenario,scenario_label,year_month,q,q_label,mean,sd,median,lower_95,upper_95
Audio_only,Audio-only sensitivity,2023-07,1,q = 1: Exponential Shannon,12.652703021899143,0.8732535112271935,12.61766060487501,11.061218271318769,14.444206101291076
Audio_only,Audio-only sensitivity,2023-07,2,q = 2: Inverse Simpson,6.0127343276614305,0.5285128765958568,5.937645659269718,5.151409258665655,7.198947467403633
Audio_only,Audio-only sensitivity,2023-08,0,q = 0: Richness,22.671,2.113581374403698,23,18,27
Audio_only,Audio-only sensitivity,2023-08,1,q = 1: Exponential Shannon,11.612013273040892,0.9519451787502453,11.598506547884437,9.744804526299218,13.526008037350557
Audio_only,Audio-only sensitivity,2023-08,2,q = 2: Inverse Simpson,7.774746344570786,0.6141304970980187,7.779248469319846,6.526031579047061,8.978626744599248
Audio_only,Audio-only sensitivity,2023-10,0,q = 0: Richness,38.998,2.6062979086798173,39,34,44
Audio_only,Audio-only sensitivity,2023-10,1,q = 1: Exponential Shannon,12.169915705730322,0.7679624230376441,12.173968674501864,10.685200698913537,13.63452930795124
Audio_only,Audio-only sensitivity,2023-10,2,q = 2: Inverse Simpson,6.47664188485097,0.40439552505199117,6.464629234133969,5.695987562025977,7.29273312129429
Audio_only,Audio-only sensitivity,2023-11,0,q = 0: Richness,40.288,2.6892914100722307,40,35,46
Audio_only,Audio-only sensitivity,2023-11,1,q = 1: Exponential Shannon,16.639132674300132,1.1037463369713623,16.670610734644846,14.516972543054818,18.726379628365354
Audio_only,Audio-only sensitivity,2023-11,2,q = 2: Inverse Simpson,9.559112677838412,0.7210213016025567,9.546149226351865,8.16372403023674,11.054495028868152
Audio_only,Audio-only sensitivity,2023-12,0,q = 0: Richness,28.636,2.2549032326440503,29,24,33
Audio_only,Audio-only sensitivity,2023-12,1,q = 1: Exponential Shannon,10.673544645830845,0.9908425464974104,10.696950164096592,8.71323556246573,12.717895150996917
